Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
João Gomes,Wolverhampton Wanderers,1812696,0.07,0.86,0.03,2.11,43.57,0.824,3.39,0.89,0.82,1.12,1.35,4.18,0.59,1.65,0.99,0.69,,,,,,,,,,,
Toti Gomes,Wolverhampton Wanderers,1510580,0.03,0.35,0.1,0.71,61.21,0.825,2.7,0.68,0.68,0.71,0.42,1.48,0.9,1.26,3.09,1.87,,,,,,,,,,,
Joe Gomez,Liverpool,5135973,0,1.03,0.11,2.5,70.26,0.83,4.89,1.91,0.74,1.36,4.45,2.28,1.21,1.29,2.35,1.88,,,,,,,,,,,
Maxi Gómez,Cádiz,3650000,0,1.24,0,1.63,19.68,0.518,0.86,1.01,0.31,3.58,4.12,0.47,0.23,0.62,0.23,5.37,,,,,,,,,,,
Moi Gómez,Osasuna,900000,0.14,0.86,0,2.72,52.77,0.809,5.75,1.63,0.77,1.27,3.08,1.36,0.5,0.68,1,0.59,,,,,,,,,,,
Papu Gómez,AC Monza Brianza 1912,1920000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Sergio Gómez,Manchester City,3021160,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Unai Gómez,Athletic Club,,0.22,1.63,0,2.6,27.22,0.765,2.93,2.06,1.3,2.82,5.1,1.3,0.22,1.41,0.98,1.41,,,,,,,,,,,
Iron Gomis,Salernitana,280000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Maxime Gonalons,Clermont Foot,780000,0.06,0.8,0,1.29,53.06,0.865,5.73,0.55,0.55,0.62,0.62,3.51,1.35,1.35,0.74,0.99,,,,,,,,,,,
Édgar González,Almería,1200000,0.07,0.53,0,0.6,48.21,0.854,2.39,0.25,0.25,0.95,0.25,1.55,1.3,1.55,4.74,2.49,,,,,,,,,,,
Enso Gonzalez,Wolverhampton Wanderers,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
