position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
"FW,MF",Bundesliga,32.0,30,25,2199,15,4000000.0,0.31,2.48,0.24,5.19,46.08,0.796,4.64,2.75,0.87,3.93,6.8,0.43,0.43,0.63,0.43,0.39,2.835109060602928
DF,Premier League,21.0,11,8,783,0,2114812.0,0.0,0.11,0.0,0.69,35.63,0.874,0.92,0.11,0.0,0.57,0.0,1.15,1.49,1.38,4.83,0.8,-0.1817345838594364
DF,Premier League,30.0,22,17,1603,3,6042321.0,0.14,0.64,0.09,4.28,84.81,0.816,6.83,3.19,0.18,2.5,5.83,1.82,0.59,0.96,2.14,0.64,-0.1817345838594364
"FW,MF",Premier League,32.0,26,14,1195,1,1208464.0,0.08,1.51,0.23,2.71,32.38,0.702,2.64,3.46,1.13,1.58,5.27,1.58,0.38,0.9,0.75,0.0,-0.1817345838594364
MF,Bundesliga,25.0,20,14,1214,1,1200000.0,0.08,1.56,0.16,2.81,42.03,0.751,4.53,2.81,1.64,2.58,5.39,2.11,1.48,1.88,1.72,1.64,-0.1817345838594364
FW,Ligue 1,34.0,18,11,1014,5,1500000.0,0.44,2.57,0.0,2.13,22.32,0.738,1.86,1.24,1.33,4.07,5.49,1.33,0.18,0.62,0.89,3.63,-0.1817345838594364
"FW,MF",Premier League,30.0,12,3,508,1,6785991.0,0.16,1.25,0.0,2.82,50.33,0.785,6.43,1.57,0.94,1.72,4.7,1.25,0.47,1.72,0.63,0.16,-0.1817345838594364
FW,La Liga,28.0,18,9,720,3,5000000.0,0.11,1.9,0.0,1.56,20.43,0.798,1.12,0.67,1.01,3.46,5.47,0.56,0.11,0.45,0.34,1.67,0.4216341450330366
MF,La Liga,37.0,12,4,447,0,1400000.0,0.0,0.99,0.0,3.3,64.25,0.856,6.93,0.99,0.88,0.55,0.99,2.64,1.32,0.77,0.88,1.1,-0.1817345838594364
MF,Ligue 1,21.0,25,16,1314,1,900000.0,0.06,1.76,0.0,3.77,51.0,0.8,5.15,4.27,2.14,1.51,3.64,1.88,0.25,0.94,0.44,0.63,-0.1817345838594364
DF,Ligue 1,24.0,33,32,2899,0,450000.0,0.0,0.06,0.0,0.59,50.23,0.847,3.6,1.18,0.19,0.12,0.22,1.55,1.02,1.15,2.83,0.75,-0.1817345838594364
