position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
"FW,MF",Premier League,21.0,1,1,1742977.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.1110298275082524
MF,Bundesliga,26.0,2,1,3800000.0,0.1,1.29,2.63,48.42,0.847,5.6,0.5,0.45,0.69,0.69,2.43,1.29,1.64,1.98,1.83,,,,,,,,,,,,-0.3573753679181039,0.14818498793218887
MF,Premier League,22.0,2,0,6042321.0,0.08,1.28,2.44,43.88,0.84,4.89,0.95,0.58,1.41,1.82,2.94,1.04,0.99,1.24,2.32,,,,,,,,,,,,-0.3573753679181039,1.224773861335593
DF,Premier League,30.0,0,0,604232.0,0.0,0.1,1.31,43.69,0.772,3.98,1.67,0.52,0.26,0.52,2.62,1.31,1.73,3.14,1.05,,,,,,,,,,,,-0.3573753679181039,0.3813260904459786
"FW,MF",La Liga,27.0,0,0,420000.0,0.79,2.52,3.15,28.37,0.744,3.94,3.78,2.05,5.2,7.88,1.26,0.47,1.1,0.32,0.79,,,,,,,,,,,,-0.3573753679181039,-1.7775341909102966
DF,Premier League,22.0,1,0,906348.0,0.09,0.68,0.68,54.29,0.843,2.98,0.6,0.26,0.85,0.77,1.02,1.02,1.11,3.24,1.19,,,,,,,,,,,,-0.3573753679181039,-0.974515243509496
"FW,MF",Bundesliga,23.0,0,0,1500000.0,0.0,2.13,1.42,28.1,0.728,2.49,1.42,0.71,3.38,6.23,0.89,0.36,1.25,0.36,2.85,,,,,,,,,,,,-0.3573753679181039,-1.6092991643145163
"FW,MF",Bundesliga,24.0,4,6,1140000.0,0.3,3.02,4.61,45.89,0.807,3.27,2.97,0.99,6.29,12.29,1.54,0.45,1.24,0.45,2.08,,,,,,,,,,,,-0.3573753679181039,-0.7412241106772136
"FW,MF",Ligue 1,24.0,7,3,1200000.0,0.45,3.48,3.62,33.42,0.805,3.8,2.72,1.85,5.57,7.9,1.04,0.59,0.8,0.49,0.77,,,,,,,,,,,,-0.3573753679181039,1.318616935027829
"FW,MF",Ligue 1,26.0,1,2,3100000.0,0.03,1.36,4.07,45.17,0.846,6.4,4.01,1.72,3.08,5.94,1.21,0.54,1.21,0.18,0.39,,,,,,,,,,,,-0.3573753679181039,0.8324087555517798
FW,Ligue 1,23.0,0,0,410000.0,0.13,2.78,2.78,31.14,0.789,2.66,4.18,1.65,3.29,9.49,0.89,0.63,1.01,0.76,0.51,,,,,,,,,,,,-0.3573753679181039,-2.1044204687981525
DF,Serie A,30.0,3,0,3210000.0,0.08,0.76,1.22,78.36,0.903,4.32,0.76,0.35,1.3,0.14,1.05,0.84,0.81,3.48,2.81,,,,,,,,,,,,-0.3573753679181039,1.9313481511782342
DF,Bundesliga,26.0,0,0,600000.0,0.0,0.61,0.92,47.59,0.734,3.66,0.46,0.0,1.53,0.46,2.14,1.37,1.83,5.49,3.97,,,,,,,,,,,,-0.3573753679181039,-1.876059812356754
"FW,MF",Premier League,23.0,0,0,911708.0,0.26,2.72,4.01,43.71,0.683,3.23,4.53,1.68,4.01,6.47,1.55,0.65,2.33,0.65,0.39,,,,,,,,,,,,-0.3573753679181039,-2.537951818298292
FW,La Liga,24.0,6,1,1300000.0,0.66,2.54,1.99,16.88,0.627,1.32,1.1,0.99,4.63,4.96,1.54,0.22,0.44,0.88,3.53,,,,,,,,,,,,-0.3573753679181039,-0.4443141909734587
